epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.34725,2.60011,2.7132,1.23776,0.0151,0.7,0.01734,0.00607,2.17732,3.24832,1.01405,0.000653333,0.000653333,0.000653333
2,16.9868,2.28563,1.56181,1.1224,0.65802,0.41108,0.56051,0.17752,2.19499,1.87377,1.04859,0.00129386,0.00129386,0.00129386
3,24.765,2.25885,1.39471,1.10841,0.64554,0.62727,0.60619,0.19645,2.1615,1.58244,1.03307,0.00190799,0.00190799,0.00190799
4,32.0907,2.24125,1.26163,1.09865,0.67134,0.59422,0.56269,0.18879,2.26705,1.23481,1.07143,0.0018812,0.0018812,0.0018812
5,38.2512,2.17533,1.20401,1.10327,0.77466,0.77273,0.74755,0.25876,2.08863,1.05791,1.00901,0.0018416,0.0018416,0.0018416
6,44.5424,2.1684,1.13622,1.06982,0.69721,0.71173,0.71985,0.23515,2.07153,1.10823,1.02516,0.001802,0.001802,0.001802
7,51.1232,2.13278,1.0838,1.08343,0.78615,0.79091,0.7702,0.26738,1.99078,0.93311,0.99144,0.0017624,0.0017624,0.0017624
8,57.7055,2.11837,1.03422,1.07528,0.80779,0.73636,0.75824,0.2624,2.15881,0.96285,1.03899,0.0017228,0.0017228,0.0017228
9,64.3147,2.18201,1.04684,1.07711,0.75018,0.66881,0.67118,0.22749,2.19823,0.99958,1.0466,0.0016832,0.0016832,0.0016832
10,71.084,2.10387,1.03978,1.07521,0.8146,0.75892,0.79216,0.27256,2.06921,0.96336,1.02407,0.0016436,0.0016436,0.0016436
11,79.2371,2.11014,1.00825,1.07173,0.79476,0.79545,0.78742,0.28358,2.05515,0.94156,1.01381,0.001604,0.001604,0.001604
12,87.2998,2.08115,0.96647,1.0737,0.82232,0.80455,0.7782,0.26787,2.09841,0.89024,1.03339,0.0015644,0.0015644,0.0015644
13,95.1048,2.09426,0.96749,1.05928,0.86589,0.81364,0.81305,0.26812,2.19025,0.8952,1.04234,0.0015248,0.0015248,0.0015248
14,102.942,2.14221,1.01512,1.0741,0.80936,0.75263,0.73209,0.25651,2.04866,0.98292,1.01073,0.0014852,0.0014852,0.0014852
15,111.223,2.06055,0.9629,1.04707,0.85578,0.80913,0.83538,0.31183,2.05467,0.93995,1.00992,0.0014456,0.0014456,0.0014456
16,119.547,2.03022,0.91571,1.04659,0.82596,0.79815,0.80215,0.28969,2.02518,0.89162,1.00018,0.001406,0.001406,0.001406
17,127.626,2.06315,0.912,1.05949,0.88259,0.82005,0.84765,0.29676,2.1236,0.87499,1.02355,0.0013664,0.0013664,0.0013664
18,136.175,2.03611,0.91135,1.04261,0.81395,0.81532,0.8234,0.28631,2.11945,0.9068,1.02608,0.0013268,0.0013268,0.0013268
19,144.69,2.00082,0.88758,1.0424,0.83864,0.8032,0.81459,0.27056,1.9635,0.91478,0.99529,0.0012872,0.0012872,0.0012872
