epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.03598,2.62389,2.68725,1.22077,0.01378,0.54643,0.03189,0.0139,2.43056,3.36956,1.01427,0.000654321,0.000654321,0.000654321
2,15.358,2.3595,1.60291,1.11864,0.63562,0.42987,0.45526,0.15265,2.6814,1.88587,1.07803,0.00131227,0.00131227,0.00131227
3,22.736,2.31262,1.4247,1.1037,0.51974,0.45,0.36655,0.10137,2.66746,1.52804,1.11855,0.00196142,0.00196142,0.00196142
4,30.2346,2.26984,1.28236,1.09682,0.75649,0.58804,0.62397,0.21164,2.52346,1.10652,1.03581,0.0019604,0.0019604,0.0019604
5,38.0047,2.22797,1.20544,1.09532,0.59794,0.49643,0.45181,0.14042,2.47085,1.32221,1.0324,0.0019472,0.0019472,0.0019472
6,46.4441,2.24323,1.13537,1.07996,0.72017,0.6342,0.62892,0.21183,2.34434,1.08121,1.01388,0.001934,0.001934,0.001934
7,55.2026,2.17549,1.08995,1.07718,0.75407,0.58571,0.59587,0.19706,2.54404,1.10459,1.0357,0.0019208,0.0019208,0.0019208
8,63.4571,2.19754,1.07628,1.07838,0.80937,0.67143,0.70234,0.24197,2.3077,0.98694,1.00174,0.0019076,0.0019076,0.0019076
9,71.8562,2.16648,1.0452,1.06681,0.64896,0.65357,0.59905,0.20558,2.28279,1.04675,1.01309,0.0018944,0.0018944,0.0018944
10,80.4189,2.1753,1.02777,1.07393,0.76353,0.65357,0.66122,0.22104,2.35749,0.99704,1.0231,0.0018812,0.0018812,0.0018812
11,88.933,2.16194,1.01785,1.07449,0.82877,0.71071,0.75759,0.24376,2.32665,0.93355,1.02139,0.001868,0.001868,0.001868
12,97.4236,2.14519,1.01583,1.04919,0.83317,0.675,0.73887,0.26136,2.38261,0.93135,1.01869,0.0018548,0.0018548,0.0018548
13,106.115,2.14721,0.98203,1.0725,0.76396,0.72143,0.69531,0.22331,2.26623,0.99986,1.00265,0.0018416,0.0018416,0.0018416
