epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.44829,1.7838,3.57178,1.45172,0.01206,0.80541,0.02513,0.01696,1.1435,3.34381,1.05999,0.00021671,0.00021671,0.00021671
2,6.00233,1.32528,1.90071,1.12888,0.01488,1,0.35669,0.20839,1.16827,2.95857,1.02949,0.000445634,0.000445634,0.000445634
3,8.41239,1.2542,1.54323,1.0929,0.89656,0.2137,0.44736,0.29536,1.15649,2.99454,1.04891,0.000669937,0.000669937,0.000669937
4,10.9038,1.26724,1.25559,1.08303,0.97084,0.21826,0.84458,0.55403,1.10437,2.48029,1.03548,0.00088962,0.00088962,0.00088962
5,13.2334,1.22263,1.14008,1.07682,0.92292,0.3487,0.86223,0.60598,1.09117,2.23947,1.02251,0.00110468,0.00110468,0.00110468
6,15.5308,1.25067,1.0535,1.09332,0.8234,0.63527,0.85697,0.56459,1.14974,1.91095,1.05427,0.00131512,0.00131512,0.00131512
7,17.7947,1.23931,0.99125,1.08069,0.84747,0.73002,0.85035,0.55775,1.21157,1.87283,1.10086,0.00152094,0.00152094,0.00152094
8,20.0994,1.25481,0.96969,1.0956,0.86933,0.81469,0.87722,0.5735,1.1895,1.4894,1.08275,0.00155148,0.00155148,0.00155148
9,22.3348,1.22084,0.97861,1.07526,0.79358,0.8523,0.91025,0.60672,1.17277,1.23647,1.067,0.00153497,0.00153497,0.00153497
10,24.6528,1.2407,0.93419,1.07513,0.86424,0.88362,0.92322,0.62498,1.1205,0.90237,1.03356,0.00151847,0.00151847,0.00151847
11,27.0369,1.21545,0.92443,1.08227,0.88492,0.91406,0.95171,0.66008,1.12339,0.9398,1.04978,0.00150197,0.00150197,0.00150197
12,29.3451,1.16549,0.8671,1.05646,0.86647,0.91161,0.90468,0.6082,1.14258,0.858,1.03974,0.00148546,0.00148546,0.00148546
13,31.6874,1.15885,0.82613,1.06181,0.83453,0.90921,0.92484,0.65754,1.0661,0.94238,1.02694,0.00146896,0.00146896,0.00146896
14,34.0683,1.15848,0.85004,1.0516,0.83163,0.93749,0.92455,0.62877,1.13455,0.78845,1.03989,0.00145246,0.00145246,0.00145246
15,36.3308,1.14065,0.80313,1.03929,0.87371,0.94108,0.90516,0.62047,1.15314,0.74661,1.0479,0.00143595,0.00143595,0.00143595
16,38.6426,1.13358,0.78559,1.0378,0.89678,0.93768,0.93407,0.64155,1.13551,0.72394,1.05069,0.00141945,0.00141945,0.00141945
17,40.9595,1.13193,0.78215,1.05574,0.86763,0.93593,0.93519,0.65752,1.07332,0.70717,1.02934,0.00140295,0.00140295,0.00140295
18,43.2786,1.12181,0.72139,1.03499,0.84663,0.9159,0.88313,0.61341,1.06365,0.78432,1.02199,0.00138644,0.00138644,0.00138644
19,45.7509,1.12484,0.74979,1.0373,0.85883,0.92252,0.93654,0.63913,1.10044,0.6832,1.02903,0.00136994,0.00136994,0.00136994
20,48.186,1.14519,0.73987,1.05067,0.87724,0.90356,0.92967,0.63319,1.14835,0.71166,1.04566,0.00135344,0.00135344,0.00135344
21,50.5852,1.13044,0.73004,1.03463,0.91663,0.88565,0.93351,0.62199,1.1888,0.66972,1.073,0.00133693,0.00133693,0.00133693
22,53.0384,1.14024,0.71272,1.02724,0.89802,0.92416,0.94084,0.66648,1.0575,0.63918,1.01547,0.00132043,0.00132043,0.00132043
23,55.3892,1.09357,0.67998,1.03313,0.88481,0.92096,0.94038,0.65598,1.10145,0.63164,1.02884,0.00130393,0.00130393,0.00130393
24,57.8033,1.11847,0.65641,1.03418,0.90143,0.91823,0.95596,0.65132,1.16047,0.64675,1.06983,0.00128742,0.00128742,0.00128742
25,60.1906,1.12957,0.66613,1.0376,0.88903,0.91415,0.94628,0.67869,1.07154,0.63694,1.02245,0.00127092,0.00127092,0.00127092
26,62.7398,1.10217,0.66068,1.04823,0.85373,0.91323,0.91001,0.64108,1.05389,0.72348,1.0209,0.00125442,0.00125442,0.00125442
27,65.0686,1.1059,0.64521,1.02023,0.9113,0.94729,0.93133,0.64496,1.10153,0.62512,1.02838,0.00123791,0.00123791,0.00123791
28,67.5816,1.10533,0.66203,1.04815,0.8968,0.93208,0.92143,0.67095,1.01434,0.64411,1.00357,0.00122141,0.00122141,0.00122141
29,69.8861,1.07054,0.6315,1.02154,0.89897,0.94646,0.95358,0.66266,1.08746,0.6349,1.0268,0.00120491,0.00120491,0.00120491
30,72.2419,1.03825,0.59373,1.00172,0.88584,0.95533,0.94781,0.67388,1.057,0.62711,1.01214,0.0011884,0.0011884,0.0011884
31,74.657,1.08163,0.60854,1.0277,0.89929,0.95757,0.94961,0.6849,1.05424,0.57202,1.01407,0.0011719,0.0011719,0.0011719
32,77.0129,1.0768,0.63033,1.00451,0.9316,0.94944,0.95838,0.68755,1.04626,0.57603,1.02466,0.0011554,0.0011554,0.0011554
33,79.3975,1.06196,0.62539,1.01987,0.89146,0.92787,0.93917,0.67006,1.04229,0.63151,1.00874,0.00113889,0.00113889,0.00113889
34,81.9598,1.05766,0.59234,1.019,0.89333,0.94475,0.94171,0.6645,1.08986,0.62191,1.02995,0.00112239,0.00112239,0.00112239
35,84.2967,1.04589,0.6084,1.00206,0.92138,0.94356,0.97159,0.68771,1.07609,0.57782,1.02915,0.00110589,0.00110589,0.00110589
36,86.6695,1.03996,0.61579,1.00806,0.88464,0.9361,0.93771,0.6649,1.07602,0.58891,1.01703,0.00108938,0.00108938,0.00108938
