epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.97106,2.18597,4.55565,1.6447,0.00274,0.42623,0.12384,0.04466,1.69121,3.7984,1.27247,0.00023338,0.00023338,0.00023338
2,6.21038,2.06535,3.194,1.5025,0.00252,0.36885,0.10474,0.02728,2.09749,3.72426,1.42925,0.000478644,0.000478644,0.000478644
3,8.45036,2.1674,2.89585,1.58903,0.00209,0.30328,0.06376,0.0162,1.84521,3.59904,1.43632,0.000718957,0.000718957,0.000718957
4,10.607,1.96971,2.63975,1.56222,0.00296,0.43443,0.08374,0.02744,2.00591,3.42529,1.48411,0.000954319,0.000954319,0.000954319
5,12.7158,2.05244,2.58355,1.53769,0.00226,0.36885,0.13338,0.0532,2.33291,3.51804,1.74665,0.00118473,0.00118473,0.00118473
6,14.8506,2.05994,2.39145,1.55859,0.06545,0.06557,0.05071,0.01632,2.18364,3.26922,1.65564,0.00141019,0.00141019,0.00141019
7,16.9538,2.05713,2.32922,1.56305,0.41129,0.28689,0.34397,0.12521,2.2207,2.5951,1.78914,0.00156798,0.00156798,0.00156798
8,19.0974,1.9072,2.22651,1.51552,0.39402,0.41501,0.31988,0.10415,2.18302,2.72931,1.66426,0.00155148,0.00155148,0.00155148
9,21.1929,1.89677,2.37959,1.45473,0.49636,0.46139,0.38936,0.13322,2.20044,2.77679,1.66161,0.00153497,0.00153497,0.00153497
10,23.3513,1.99365,2.17226,1.53278,0.56471,0.54208,0.47267,0.17167,2.10712,2.54767,1.61641,0.00151847,0.00151847,0.00151847
11,25.5253,1.84893,1.9452,1.45069,0.42971,0.69672,0.55142,0.2236,1.99597,2.20473,1.54099,0.00150197,0.00150197,0.00150197
12,27.6963,1.86488,1.93652,1.43591,0.5146,0.56264,0.48897,0.19916,1.93567,2.21593,1.47519,0.00148546,0.00148546,0.00148546
13,29.7737,1.88108,1.92055,1.4749,0.71536,0.54317,0.63885,0.26908,1.94304,2.06788,1.48962,0.00146896,0.00146896,0.00146896
14,31.8983,1.8569,1.84195,1.46716,0.39236,0.52459,0.4331,0.17208,1.98541,4.05962,1.51575,0.00145246,0.00145246,0.00145246
15,33.9732,1.8043,1.71664,1.41077,0.58638,0.62707,0.62876,0.25747,1.88575,1.9684,1.5373,0.00143595,0.00143595,0.00143595
16,36.0548,1.84755,1.6784,1.4159,0.56791,0.71311,0.70061,0.2873,1.93133,1.67989,1.56369,0.00141945,0.00141945,0.00141945
17,38.1328,1.80773,1.85599,1.45082,0.67088,0.68033,0.62529,0.25322,1.92223,1.79664,1.52278,0.00140295,0.00140295,0.00140295
18,40.2045,1.86727,1.76804,1.46408,0.64958,0.56031,0.62252,0.24585,1.84654,1.67643,1.47544,0.00138644,0.00138644,0.00138644
19,42.2582,1.68872,1.80311,1.37369,0.58493,0.57839,0.57669,0.25572,1.84895,1.567,1.43789,0.00136994,0.00136994,0.00136994
20,44.3245,1.80594,1.65917,1.41102,0.69334,0.69051,0.72694,0.30134,1.83997,1.40547,1.42847,0.00135344,0.00135344,0.00135344
21,46.4271,1.75107,1.57745,1.34959,0.70847,0.63451,0.67566,0.28226,1.90213,1.45689,1.47381,0.00133693,0.00133693,0.00133693
22,48.5615,1.74895,1.63159,1.39289,0.6513,0.67213,0.68509,0.25521,1.85792,1.62428,1.50337,0.00132043,0.00132043,0.00132043
23,50.7068,1.74512,1.5256,1.39039,0.76856,0.7377,0.79487,0.33037,1.77366,1.38311,1.42645,0.00130393,0.00130393,0.00130393
24,52.8342,1.86176,1.80655,1.47759,0.68858,0.69672,0.75399,0.3048,1.86562,1.44647,1.48344,0.00128742,0.00128742,0.00128742
25,54.8974,1.6986,1.57121,1.399,0.75025,0.72131,0.78139,0.3171,1.86751,1.35011,1.4898,0.00127092,0.00127092,0.00127092
26,56.9946,1.70817,1.50904,1.37399,0.75846,0.6424,0.756,0.31919,1.82027,1.34214,1.43109,0.00125442,0.00125442,0.00125442
27,59.1107,1.66622,1.5144,1.39792,0.77187,0.66244,0.75602,0.34427,1.77418,1.28357,1.42062,0.00123791,0.00123791,0.00123791
28,61.1785,1.65882,1.42358,1.35062,0.76534,0.65044,0.73315,0.31672,1.80097,1.41396,1.46065,0.00122141,0.00122141,0.00122141
29,63.2755,1.73032,1.4666,1.36163,0.74959,0.67213,0.73702,0.32782,1.76359,1.38251,1.43055,0.00120491,0.00120491,0.00120491
30,65.3604,1.63544,1.40752,1.30199,0.60805,0.71665,0.67598,0.29561,1.78103,1.32333,1.42336,0.0011884,0.0011884,0.0011884
31,67.5008,1.66952,1.43606,1.321,0.68603,0.77928,0.72718,0.32877,1.7708,1.266,1.42843,0.0011719,0.0011719,0.0011719
32,69.6011,1.51042,1.4246,1.20198,0.82916,0.79002,0.84953,0.35319,1.76957,1.22297,1.40436,0.0011554,0.0011554,0.0011554
33,71.6968,1.58523,1.44081,1.32217,0.75059,0.73094,0.80734,0.3641,1.73629,1.24036,1.38508,0.00113889,0.00113889,0.00113889
34,73.8068,1.78182,1.54481,1.43791,0.7335,0.76537,0.79709,0.34576,1.77756,1.32934,1.39831,0.00112239,0.00112239,0.00112239
