epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.7011,0.87119,2.43009,3.25696,1.00574,0.01773,0.93942,0.26524,0.23015,0.01732,0.90133,0.25205,0.1814,0.4915,1.45618,3.24565,0.87034,0.00013332,0.00013332,0.00013332
2,102.787,0.53933,1.20468,2.21421,0.89527,0.01776,0.91085,0.3532,0.31612,0.01739,0.88276,0.34222,0.29298,0.56405,1.36602,3.15502,0.94709,0.000272251,0.000272251,0.000272251
3,153.322,0.55485,1.1088,1.60276,0.92797,0.67324,0.25416,0.60741,0.54269,0.63871,0.23511,0.55076,0.44638,0.53481,1.23596,2.60396,0.86319,0.000405462,0.000405462,0.000405462
4,206.404,0.52418,1.1684,1.24475,0.90182,0.85721,0.44178,0.75382,0.65423,0.71566,0.38943,0.60433,0.43544,0.6247,2.6596,2.36305,0.90831,0.000532953,0.000532953,0.000532953
5,257.161,0.52607,1.09509,1.11844,0.89648,0.66865,0.45844,0.61721,0.45665,0.60577,0.39982,0.54946,0.3894,0.70183,1.80871,2.58453,1.00712,0.000654726,0.000654726,0.000654726
6,305.796,0.55269,1.05573,1.07499,0.89479,0.65863,0.62132,0.72017,0.58023,0.70338,0.62325,0.73388,0.57412,0.69258,1.11017,1.92112,0.96425,0.000770778,0.000770778,0.000770778
7,366.734,0.51787,1.10943,1.01104,0.88948,0.63853,0.73569,0.75804,0.65829,0.61158,0.68759,0.71176,0.60065,0.60947,1.25093,1.52932,0.91286,0.000881112,0.000881112,0.000881112
8,414.333,0.51033,0.9647,0.98569,0.88833,0.71819,0.63996,0.70247,0.58221,0.68236,0.61391,0.67689,0.50585,0.72179,1.69867,2.00575,1.00575,0.000957015,0.000957015,0.000957015
9,477.765,0.5256,1.01628,0.91984,0.89011,0.79366,0.67459,0.79182,0.66445,0.73647,0.63522,0.71619,0.53936,0.67777,2.11365,1.5342,0.91717,0.000935018,0.000935018,0.000935018
10,544.531,0.51539,0.92593,0.87385,0.88461,0.76283,0.82812,0.86987,0.7563,0.79454,0.73757,0.81654,0.68373,0.59015,1.00596,1.19418,0.89542,0.00091302,0.00091302,0.00091302
11,602.185,0.52,0.89845,0.90104,0.89005,0.84431,0.8308,0.89494,0.78304,0.8246,0.81206,0.86363,0.7078,0.56133,1.09013,1.12328,0.88671,0.000891022,0.000891022,0.000891022
12,660.461,0.50943,0.83646,0.84796,0.87119,0.83671,0.82545,0.89388,0.78735,0.81389,0.80695,0.86633,0.71344,0.54239,1.00426,1.04414,0.8723,0.000869024,0.000869024,0.000869024
13,724.591,0.49859,0.89421,0.80237,0.87463,0.88395,0.85579,0.90641,0.81744,0.86279,0.8369,0.87488,0.72354,0.48728,0.95335,0.92619,0.87174,0.000847026,0.000847026,0.000847026
14,786.194,0.47446,0.88218,0.8113,0.88242,0.86349,0.86719,0.91136,0.82946,0.8233,0.82915,0.84336,0.72037,0.46804,0.92923,0.90278,0.85418,0.000825029,0.000825029,0.000825029
15,844.326,0.4735,0.87783,0.81968,0.88112,0.8954,0.90088,0.92961,0.85897,0.86436,0.87256,0.88538,0.75735,0.44404,0.91852,0.79226,0.84387,0.000803031,0.000803031,0.000803031
16,909.933,0.43296,0.82025,0.75571,0.86439,0.84193,0.89963,0.91631,0.854,0.84193,0.89963,0.91631,0.75755,0.41037,0.97299,0.81913,0.84129,0.000781033,0.000781033,0.000781033
17,972.066,0.44933,0.8812,0.75669,0.87045,0.84779,0.90108,0.93086,0.84064,0.84779,0.90108,0.93086,0.74491,0.48522,1.00861,0.84958,0.86501,0.000759035,0.000759035,0.000759035
18,1030.62,0.4457,0.78915,0.73083,0.86919,0.91474,0.89932,0.9433,0.8687,0.89365,0.88028,0.90556,0.73528,0.43135,1.05841,0.76578,0.8591,0.000737037,0.000737037,0.000737037
19,1093.82,0.42574,0.79179,0.73324,0.86681,0.87153,0.92948,0.93555,0.87068,0.81982,0.88208,0.85657,0.74535,0.41938,0.93399,0.75355,0.8705,0.00071504,0.00071504,0.00071504
20,1158.81,0.41512,0.82605,0.67008,0.85891,0.89842,0.9348,0.93682,0.86106,0.84778,0.88746,0.85662,0.7405,0.44441,1.02801,0.72571,0.88127,0.000693042,0.000693042,0.000693042
21,1218.14,0.41421,0.81786,0.66514,0.85934,0.87993,0.8923,0.92727,0.85712,0.86133,0.87333,0.89286,0.72569,0.42413,0.94196,0.75527,0.87839,0.000671044,0.000671044,0.000671044
22,1278.04,0.39508,0.8014,0.64163,0.85335,0.91861,0.89588,0.93729,0.8854,0.89544,0.87717,0.89795,0.76491,0.38663,0.95725,0.73027,0.87405,0.000649046,0.000649046,0.000649046
23,1344.82,0.39517,0.75523,0.64231,0.8513,0.8797,0.92291,0.94545,0.8735,0.90142,0.87401,0.92329,0.78556,0.41295,0.94662,0.73156,0.86733,0.000627048,0.000627048,0.000627048
24,1403.62,0.38543,0.71675,0.62887,0.85559,0.93628,0.89186,0.94662,0.88513,0.91387,0.87281,0.91834,0.76597,0.39393,0.99921,0.67364,0.85236,0.000605051,0.000605051,0.000605051
25,1460.14,0.40386,0.83766,0.64889,0.86887,0.94839,0.89812,0.93849,0.8881,0.92559,0.87958,0.9115,0.76366,0.40501,0.96342,0.64986,0.857,0.000583053,0.000583053,0.000583053
26,1524.1,0.41466,0.79331,0.63911,0.858,0.93145,0.9281,0.94201,0.87018,0.9116,0.90913,0.90736,0.75934,0.41854,0.83839,0.62509,0.86309,0.000561055,0.000561055,0.000561055
27,1584.36,0.40232,0.74684,0.61953,0.85948,0.93134,0.94589,0.94215,0.88429,0.91168,0.92684,0.91,0.76527,0.396,0.88373,0.60991,0.85579,0.000539057,0.000539057,0.000539057
28,1647.98,0.38377,0.73785,0.60597,0.84909,0.90331,0.92008,0.93465,0.88403,0.85548,0.87271,0.85153,0.74264,0.34804,0.9984,0.62966,0.83409,0.000517059,0.000517059,0.000517059
29,1714.02,0.38533,0.76595,0.59258,0.85765,0.89991,0.92126,0.93223,0.8757,0.86332,0.88325,0.86888,0.73846,0.37509,1.02415,0.66546,0.84633,0.000495062,0.000495062,0.000495062
30,1774.78,0.37507,0.74873,0.59693,0.84726,0.88026,0.93764,0.94265,0.88548,0.90307,0.84202,0.87556,0.74756,0.38239,1.03168,0.65236,0.84128,0.000473064,0.000473064,0.000473064
