epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.69529,1.67346,3.11669,1.53227,0.00324,1,0.70606,0.55186,0.83222,2.57399,0.84081,0.00040008,0.00040008,0.00040008
2,6.75866,1.24612,2.01228,1.20471,0.69925,0.71676,0.75887,0.4745,1.39326,2.05935,1.1283,0.000808743,0.000808743,0.000808743
3,9.773,1.28547,1.93972,1.27381,0.62664,0.51923,0.54215,0.31214,1.23883,2.7575,1.29729,0.00120916,0.00120916,0.00120916
4,12.4832,1.26961,1.76463,1.25128,0.68699,0.94322,0.91577,0.73888,0.88714,1.40483,0.92672,0.00160132,0.00160132,0.00160132
5,15.184,1.33304,1.67004,1.26497,0.67115,0.96154,0.93983,0.61329,1.08386,1.99016,1.00441,0.00160099,0.00160099,0.00160099
6,17.9023,1.23476,1.56697,1.23599,0.70584,1,0.9407,0.7285,0.92092,1.38278,0.92874,0.00158448,0.00158448,0.00158448
7,20.6005,1.18354,1.3906,1.20857,0.72228,0.91226,0.87971,0.63825,0.98044,1.27953,1.02969,0.00156798,0.00156798,0.00156798
8,23.3051,1.14016,1.26527,1.19694,0.58873,0.58405,0.55556,0.36854,1.22359,2.04385,1.24832,0.00155148,0.00155148,0.00155148
9,26.0131,1.13871,1.21884,1.19497,0.89404,0.94765,0.9423,0.77079,0.7524,1.10816,0.91867,0.00153497,0.00153497,0.00153497
10,28.6996,1.12992,1.22588,1.20533,0.64505,0.61538,0.5422,0.45667,0.84095,2.44148,0.91504,0.00151847,0.00151847,0.00151847
11,31.4046,1.14257,1.11666,1.20067,0.97207,0.91121,0.97728,0.82002,0.82529,0.80583,0.95715,0.00150197,0.00150197,0.00150197
12,34.2616,1.19533,1.05388,1.20874,0.97758,1,0.995,0.78455,0.82059,0.70433,0.91327,0.00148546,0.00148546,0.00148546
13,36.9732,1.08571,0.99662,1.17002,0.90146,0.97105,0.98679,0.80122,0.77279,0.711,0.92699,0.00146896,0.00146896,0.00146896
14,39.8316,1.06879,0.96624,1.14666,0.91206,0.93235,0.98679,0.72915,1.00274,0.73458,0.99798,0.00145246,0.00145246,0.00145246
15,42.5354,1.08724,0.9691,1.16971,0.82161,1,0.995,0.81283,0.82732,0.75394,0.96564,0.00143595,0.00143595,0.00143595
16,45.2562,1.04272,0.92553,1.16318,0.91264,1,0.98418,0.85172,0.68887,0.59097,0.90096,0.00141945,0.00141945,0.00141945
17,47.9739,1.0382,0.8465,1.1427,0.96262,0.99634,0.9925,0.82824,0.74454,0.62232,0.94723,0.00140295,0.00140295,0.00140295
18,50.7003,1.04411,0.84432,1.16447,0.93968,0.9923,0.995,0.79614,0.89187,0.5784,0.98349,0.00138644,0.00138644,0.00138644
19,53.4351,1.0445,0.89014,1.15433,0.98973,1,0.995,0.82543,0.79955,0.63755,0.89664,0.00136994,0.00136994,0.00136994
20,56.1684,1.07093,0.8588,1.16233,0.9783,1,0.995,0.80491,0.80664,0.59244,0.93665,0.00135344,0.00135344,0.00135344
