epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.74401,0.77469,1.2679,2.05676,0.9107,1,0.47053,0.91056,0.76219,1,0.47053,0.90754,0.72487,0.60379,0.8917,2.23813,0.81303,0.00048,0.00048,0.00048
2,16.7659,0.62404,0.84082,0.76559,0.84916,0.16165,0.836,0.82985,0.73097,0.16242,0.84,0.83351,0.729,0.48494,0.59455,2.27657,0.79584,0.000973532,0.000973532,0.000973532
3,23.8227,0.58989,0.70302,0.64682,0.84487,0.99048,0.83198,0.96948,0.82495,0.99048,0.83198,0.97045,0.82137,0.52553,0.74519,1.52166,0.80895,0.00146046,0.00146046,0.00146046
4,28.9238,0.57368,0.73459,0.60202,0.84333,0.97977,0.96843,0.99275,0.84773,0.96765,0.95711,0.9757,0.77463,0.5796,0.71327,0.98597,0.82642,0.0019408,0.0019408,0.0019408
5,33.7294,0.63171,0.77273,0.59511,0.84901,0.97616,0.98288,0.99171,0.87165,0.97616,0.98288,0.99171,0.83095,0.47833,0.56631,0.64168,0.79092,0.0019472,0.0019472,0.0019472
6,38.5478,0.57682,0.69288,0.5793,0.84267,0.98022,0.984,0.99352,0.87698,0.98022,0.984,0.99352,0.86539,0.47985,0.4744,0.55399,0.79525,0.001934,0.001934,0.001934
7,43.4727,0.54846,0.6684,0.52071,0.83091,0.97529,0.992,0.99286,0.88817,0.97529,0.992,0.99286,0.84371,0.4417,0.46746,0.43537,0.79158,0.0019208,0.0019208,0.0019208
8,48.2945,0.53407,0.6374,0.50118,0.83025,0.98005,0.98265,0.9883,0.88497,0.98005,0.98265,0.9883,0.85276,0.4315,0.46613,0.42601,0.80263,0.0019076,0.0019076,0.0019076
9,53.2013,0.48964,0.57645,0.47602,0.82306,0.99186,0.97509,0.9926,0.89268,0.98292,0.984,0.99264,0.86742,0.41225,0.42418,0.42363,0.79817,0.0018944,0.0018944,0.0018944
10,57.9978,0.47029,0.57173,0.45035,0.82053,0.99077,0.98,0.99166,0.90864,0.99077,0.98,0.99166,0.85998,0.36331,0.46469,0.39889,0.78574,0.0018812,0.0018812,0.0018812
11,62.8421,0.48144,0.57904,0.44004,0.82286,0.98561,0.976,0.99088,0.92297,0.98561,0.976,0.99088,0.86237,0.36104,0.4597,0.44414,0.79061,0.001868,0.001868,0.001868
12,67.7522,0.49034,0.56579,0.43111,0.82207,0.99083,0.988,0.99385,0.92426,0.99083,0.988,0.99385,0.87112,0.36779,0.40893,0.34769,0.78506,0.0018548,0.0018548,0.0018548
13,72.74,0.4784,0.54264,0.41995,0.82511,0.97216,0.992,0.99037,0.91316,0.97216,0.992,0.99037,0.86134,0.34333,0.38219,0.34245,0.77813,0.0018416,0.0018416,0.0018416
14,77.7939,0.45479,0.52667,0.40339,0.81494,0.988,0.98767,0.99187,0.90713,0.988,0.98767,0.99187,0.85785,0.36159,0.39595,0.34136,0.78368,0.0018284,0.0018284,0.0018284
15,82.6597,0.45268,0.51032,0.39522,0.8146,0.98023,0.992,0.9932,0.91762,0.98023,0.992,0.9932,0.8756,0.31879,0.37384,0.33971,0.77349,0.0018152,0.0018152,0.0018152
16,87.6643,0.46838,0.54008,0.39673,0.81704,0.98403,0.992,0.99261,0.92344,0.98403,0.992,0.99261,0.86394,0.35831,0.40278,0.34323,0.78021,0.001802,0.001802,0.001802
17,92.5524,0.46223,0.53054,0.38854,0.81631,0.988,0.98792,0.99284,0.91175,0.988,0.98792,0.99284,0.86115,0.36501,0.37398,0.33504,0.7872,0.0017888,0.0017888,0.0017888
18,97.4547,0.46101,0.50609,0.38138,0.81186,0.98008,0.992,0.99347,0.93226,0.98008,0.992,0.99347,0.87449,0.32131,0.36368,0.31171,0.77551,0.0017756,0.0017756,0.0017756
19,102.443,0.42773,0.4824,0.36925,0.80869,0.99143,0.992,0.99192,0.93146,0.99143,0.992,0.99192,0.86143,0.32234,0.37269,0.2936,0.77939,0.0017624,0.0017624,0.0017624
20,107.336,0.43337,0.5097,0.36042,0.81247,0.98744,0.992,0.9926,0.92575,0.98744,0.992,0.9926,0.85227,0.3613,0.38199,0.30688,0.78289,0.0017492,0.0017492,0.0017492
21,112.301,0.43034,0.48874,0.36763,0.81199,0.98708,0.992,0.99381,0.92434,0.98708,0.992,0.99381,0.888,0.34723,0.36717,0.30986,0.77533,0.001736,0.001736,0.001736
22,117.233,0.4341,0.49988,0.35959,0.8127,0.98795,0.98399,0.98995,0.93039,0.98795,0.98399,0.99285,0.86669,0.31947,0.37215,0.28134,0.77365,0.0017228,0.0017228,0.0017228
23,122.077,0.44618,0.51075,0.36002,0.81456,0.99151,0.992,0.99277,0.93395,0.99151,0.992,0.99277,0.88018,0.31989,0.3803,0.30413,0.77414,0.0017096,0.0017096,0.0017096
24,126.935,0.42905,0.49689,0.35451,0.81014,0.9913,0.992,0.99364,0.94527,0.9913,0.992,0.99364,0.86997,0.29407,0.35244,0.2795,0.7753,0.0016964,0.0016964,0.0016964
25,131.826,0.41562,0.49249,0.34168,0.80657,0.9897,0.992,0.99239,0.92627,0.9897,0.992,0.99239,0.8749,0.32021,0.34834,0.28122,0.77343,0.0016832,0.0016832,0.0016832
26,136.713,0.41945,0.50107,0.34218,0.80924,0.99104,0.992,0.9931,0.94498,0.99104,0.992,0.9931,0.8864,0.32196,0.35421,0.28469,0.77555,0.00167,0.00167,0.00167
27,141.576,0.40384,0.47005,0.33621,0.80673,0.99054,0.992,0.99307,0.93937,0.99054,0.992,0.99307,0.88715,0.32812,0.35427,0.28614,0.77388,0.0016568,0.0016568,0.0016568
28,146.499,0.40892,0.46411,0.33868,0.80251,0.99193,0.98316,0.9915,0.93967,0.99193,0.98316,0.9915,0.88588,0.31189,0.33206,0.2891,0.774,0.0016436,0.0016436,0.0016436
29,151.381,0.41234,0.47117,0.33661,0.80509,0.99162,0.984,0.9913,0.9379,0.99162,0.984,0.9913,0.87594,0.30866,0.34975,0.29737,0.77329,0.0016304,0.0016304,0.0016304
30,156.272,0.41062,0.48022,0.33387,0.80689,0.98394,0.992,0.99116,0.93766,0.98394,0.992,0.99116,0.87735,0.31226,0.329,0.30223,0.7768,0.0016172,0.0016172,0.0016172
31,161.159,0.40138,0.47168,0.33055,0.80634,0.992,0.99179,0.99388,0.93951,0.992,0.99179,0.99388,0.88562,0.34034,0.36383,0.28378,0.77819,0.001604,0.001604,0.001604
32,166.071,0.40575,0.46873,0.32253,0.80552,0.99192,0.988,0.99363,0.95186,0.99192,0.988,0.99363,0.88275,0.29823,0.34069,0.26723,0.77329,0.0015908,0.0015908,0.0015908
33,170.941,0.39953,0.4591,0.32159,0.80226,0.99199,0.99119,0.99313,0.94971,0.99199,0.99119,0.99313,0.87958,0.29768,0.35254,0.28475,0.77146,0.0015776,0.0015776,0.0015776
34,175.813,0.39655,0.45377,0.31839,0.80537,0.98987,0.988,0.99267,0.94484,0.98987,0.988,0.99267,0.88589,0.2954,0.34079,0.26394,0.76995,0.0015644,0.0015644,0.0015644
35,180.742,0.39312,0.44856,0.32506,0.80388,0.9911,0.992,0.99303,0.94744,0.9911,0.992,0.99303,0.89477,0.29338,0.33342,0.26788,0.77621,0.0015512,0.0015512,0.0015512
36,185.78,0.39219,0.45313,0.31946,0.80319,0.98749,0.992,0.99303,0.94661,0.98749,0.992,0.99303,0.87572,0.30774,0.37298,0.2667,0.77493,0.001538,0.001538,0.001538
37,190.721,0.4032,0.4724,0.32277,0.80311,0.98697,0.992,0.99229,0.9519,0.98697,0.992,0.99229,0.88168,0.28975,0.32647,0.26672,0.77265,0.0015248,0.0015248,0.0015248
38,195.604,0.39433,0.44719,0.31165,0.80302,0.97942,0.992,0.99121,0.94964,0.97942,0.992,0.99121,0.88348,0.31271,0.33111,0.28114,0.77789,0.0015116,0.0015116,0.0015116
39,200.475,0.39167,0.4712,0.31333,0.80233,0.99166,0.988,0.99358,0.94919,0.99166,0.988,0.99358,0.89071,0.29336,0.34265,0.2579,0.77213,0.0014984,0.0014984,0.0014984
40,205.41,0.38739,0.46251,0.30647,0.79914,0.98834,0.992,0.99261,0.95732,0.98834,0.992,0.99261,0.87808,0.26495,0.35245,0.24578,0.76848,0.0014852,0.0014852,0.0014852
41,210.352,0.37782,0.44048,0.30625,0.79887,0.992,0.9914,0.99423,0.95878,0.992,0.9914,0.99423,0.88988,0.27718,0.35089,0.24984,0.77025,0.001472,0.001472,0.001472
42,215.246,0.37471,0.43547,0.2994,0.80126,0.992,0.99171,0.99283,0.96126,0.992,0.99171,0.99283,0.88614,0.29612,0.36732,0.26781,0.77253,0.0014588,0.0014588,0.0014588
43,220.186,0.38885,0.43805,0.30564,0.79908,0.992,0.99181,0.99019,0.94842,0.992,0.99181,0.99019,0.87706,0.28486,0.35169,0.26262,0.77111,0.0014456,0.0014456,0.0014456
44,225.14,0.37809,0.43734,0.30294,0.79892,0.9912,0.992,0.99342,0.95813,0.9912,0.992,0.99342,0.88112,0.30457,0.32594,0.25189,0.77244,0.0014324,0.0014324,0.0014324
45,230.028,0.38667,0.4454,0.29986,0.79948,0.98781,0.988,0.99163,0.95619,0.98781,0.988,0.99163,0.88049,0.28146,0.32863,0.25716,0.77044,0.0014192,0.0014192,0.0014192
46,234.988,0.3647,0.41683,0.29275,0.79699,0.99185,0.988,0.99168,0.96423,0.99185,0.988,0.99168,0.89002,0.26852,0.3395,0.25047,0.76758,0.001406,0.001406,0.001406
47,239.954,0.36697,0.44082,0.28588,0.79616,0.99167,0.992,0.99222,0.96352,0.99167,0.992,0.99222,0.88383,0.26903,0.32114,0.2395,0.7681,0.0013928,0.0013928,0.0013928
48,244.874,0.37135,0.44159,0.29513,0.79644,0.9918,0.992,0.99224,0.96279,0.9918,0.992,0.99224,0.88866,0.28279,0.31105,0.25238,0.7674,0.0013796,0.0013796,0.0013796
49,249.801,0.38141,0.44848,0.29793,0.80001,0.992,0.99145,0.99338,0.96644,0.992,0.99145,0.99338,0.89179,0.2723,0.32233,0.23948,0.76782,0.0013664,0.0013664,0.0013664
50,254.697,0.35462,0.42079,0.28702,0.79512,0.99199,0.99112,0.99309,0.96707,0.99199,0.99112,0.99309,0.89498,0.25351,0.31822,0.24102,0.76433,0.0013532,0.0013532,0.0013532
