epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.49548,1.59063,3.14132,1.56993,0.00348,1,0.6,0.4751,0.7923,2.66061,0.84333,0.00040008,0.00040008,0.00040008
2,6.4429,1.23563,2.08368,1.27438,0.8291,0.46154,0.88432,0.6365,0.97259,2.16854,0.92034,0.000808743,0.000808743,0.000808743
3,9.32013,1.27408,1.884,1.35295,0.97222,0.4291,0.59761,0.36197,1.17163,2.19373,1.12922,0.00120916,0.00120916,0.00120916
4,12.1875,1.26196,1.7484,1.36406,0.83749,0.75253,0.81922,0.50206,1.27662,1.71206,1.51591,0.00160132,0.00160132,0.00160132
5,15.0582,1.21599,1.56121,1.31001,0.92646,0.85106,0.97959,0.75492,0.85822,1.46443,1.11662,0.00160099,0.00160099,0.00160099
6,17.9219,1.24,1.49529,1.3258,0.80321,0.96455,0.95649,0.76077,0.87638,1.26225,1.10139,0.00158448,0.00158448,0.00158448
7,20.7904,1.20949,1.30175,1.30102,0.91992,0.83654,0.8708,0.72365,0.82296,1.25861,1.02051,0.00156798,0.00156798,0.00156798
8,23.6618,1.19476,1.26335,1.2847,0.97018,0.96154,0.98844,0.72307,0.86073,0.96101,1.06858,0.00155148,0.00155148,0.00155148
9,26.5168,1.12371,1.19501,1.25343,0.98727,1,0.995,0.80721,0.78407,0.85583,1.01415,0.00153497,0.00153497,0.00153497
10,30.4617,1.12836,1.14058,1.2808,0.98093,0.96769,0.995,0.81076,0.86268,0.72253,1.05618,0.00151847,0.00151847,0.00151847
11,33.3483,1.09945,1.01902,1.2345,0.75099,0.96089,0.97,0.75365,0.92476,0.84943,1.14534,0.00150197,0.00150197,0.00150197
12,36.2268,1.09858,1.00479,1.23504,0.64656,0.80898,0.81521,0.66606,0.82054,1.50781,1.02755,0.00148546,0.00148546,0.00148546
13,39.0798,1.08725,0.94485,1.22799,0.88888,0.96154,0.98275,0.79342,0.82017,0.864,0.99749,0.00146896,0.00146896,0.00146896
14,42.0289,1.13524,0.92533,1.24423,0.97611,0.96154,0.9925,0.79962,0.89502,0.72426,1.04964,0.00145246,0.00145246,0.00145246
15,44.9042,1.13727,0.92893,1.28106,0.85016,0.96329,0.995,0.7761,0.81851,0.75335,1.01315,0.00143595,0.00143595,0.00143595
16,47.7723,1.04367,0.83844,1.23844,0.9673,1,0.995,0.80004,0.85695,0.56943,1.07093,0.00141945,0.00141945,0.00141945
17,50.6742,1.01141,0.82965,1.18261,0.95279,0.9465,0.995,0.82495,0.82551,0.61794,1.08088,0.00140295,0.00140295,0.00140295
18,53.5515,1.01745,0.82629,1.19715,0.84404,0.76923,0.88902,0.73198,0.91877,1.16267,1.14356,0.00138644,0.00138644,0.00138644
19,56.414,1.05804,0.86981,1.22392,0.9151,0.96154,0.95262,0.75229,0.93394,0.73201,1.18451,0.00136994,0.00136994,0.00136994
20,59.291,1.04474,0.81332,1.22377,0.95595,1,0.995,0.81537,0.80612,0.54895,1.06679,0.00135344,0.00135344,0.00135344
21,62.2061,1.06461,0.77519,1.22802,0.96076,0.99855,0.995,0.82727,0.83847,0.55376,1.02184,0.00133693,0.00133693,0.00133693
22,65.2145,1.01505,0.75642,1.19472,0.91122,1,0.98964,0.81272,0.88346,0.6476,1.03345,0.00132043,0.00132043,0.00132043
23,68.1597,0.9652,0.71538,1.15976,0.98923,0.99177,0.995,0.87304,0.66079,0.52753,0.97189,0.00130393,0.00130393,0.00130393
24,71.1143,1.03396,0.72002,1.20388,0.98432,0.98684,0.995,0.82494,0.72052,0.53542,0.99566,0.00128742,0.00128742,0.00128742
25,74.0543,1.02486,0.72864,1.17944,0.96447,0.99279,0.995,0.81514,0.78615,0.49917,1.02451,0.00127092,0.00127092,0.00127092
26,76.9852,0.98979,0.70393,1.20275,0.97351,0.9827,0.995,0.8457,0.7186,0.47536,0.97831,0.00125442,0.00125442,0.00125442
27,80.0831,0.92195,0.67851,1.13634,0.98565,1,0.995,0.86733,0.74135,0.45931,0.96811,0.00123791,0.00123791,0.00123791
28,83.7022,0.95751,0.66387,1.17021,0.95138,0.88462,0.93006,0.54969,1.606,1.27274,1.67232,0.00122141,0.00122141,0.00122141
29,87.2496,0.96541,0.68089,1.19008,0.98849,1,0.995,0.78335,0.92035,0.46291,1.09011,0.00120491,0.00120491,0.00120491
30,91.8152,0.95664,0.63682,1.15392,0.98395,1,0.995,0.8394,0.80859,0.44633,1.00592,0.0011884,0.0011884,0.0011884
31,96.222,0.93627,0.65539,1.15043,0.97706,1,0.995,0.82529,0.74749,0.39952,0.97134,0.0011719,0.0011719,0.0011719
32,100.283,0.91541,0.61187,1.13038,0.98312,1,0.995,0.85948,0.71697,0.43308,0.98485,0.0011554,0.0011554,0.0011554
33,104.719,0.99379,0.64526,1.18712,0.98495,1,0.995,0.81487,0.78573,0.4509,0.98475,0.00113889,0.00113889,0.00113889
34,108.508,0.87907,0.62242,1.092,0.98214,0.9961,0.995,0.85037,0.67105,0.40924,0.96911,0.00112239,0.00112239,0.00112239
35,112.143,0.89121,0.61114,1.1202,0.98279,1,0.995,0.85879,0.6398,0.37592,0.96128,0.00110589,0.00110589,0.00110589
36,115.797,0.87236,0.60691,1.10454,0.99076,1,0.995,0.82828,0.72195,0.44073,0.98375,0.00108938,0.00108938,0.00108938
37,119.254,0.88049,0.5863,1.13777,0.94431,1,0.995,0.85436,0.613,0.44041,0.93233,0.00107288,0.00107288,0.00107288
38,122.853,0.91431,0.61606,1.12589,0.97917,1,0.995,0.8729,0.64595,0.41706,0.93565,0.00105638,0.00105638,0.00105638
