epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.74049,1.35416,2.53589,1.27311,0.5,0.08107,0.5977,0.40975,0.74135,2.63172,0.88793,0.000545564,0.000545564,0.000545564
2,13.0706,1.24064,1.90121,1.23307,0.59225,0.77778,0.73317,0.48474,1.04562,1.7367,1.06293,0.00109033,0.00109033,0.00109033
3,19.2735,1.22941,1.64879,1.21888,0.56915,0.77295,0.68246,0.46105,0.87396,1.99215,0.95674,0.00162409,0.00162409,0.00162409
4,25.5818,1.1736,1.45052,1.21085,0.72538,0.67731,0.70021,0.47168,1.22631,1.64988,1.19143,0.00161749,0.00161749,0.00161749
5,31.8003,1.16096,1.27945,1.20161,0.57629,0.85,0.91355,0.71792,0.82113,1.9245,0.97549,0.00160099,0.00160099,0.00160099
6,38.0945,1.10526,1.12688,1.17381,0.91574,0.91781,0.95884,0.7794,0.78075,0.81632,0.95789,0.00158448,0.00158448,0.00158448
7,44.6629,1.11125,1.02953,1.18101,0.97704,0.99976,0.99446,0.80476,0.71607,0.57051,0.93023,0.00156798,0.00156798,0.00156798
8,51.0747,1.06623,0.95651,1.15119,0.93204,0.96296,0.98566,0.79419,0.72056,0.54085,0.9324,0.00155148,0.00155148,0.00155148
9,57.4902,1.06757,0.92741,1.15388,0.91008,0.90854,0.97721,0.80721,0.71681,0.56843,0.94643,0.00153497,0.00153497,0.00153497
10,63.795,1.0438,0.86807,1.14675,0.92581,0.98033,0.99259,0.81415,0.67673,0.63779,0.92302,0.00151847,0.00151847,0.00151847
11,70.2686,1.01847,0.84172,1.13751,0.96458,1,0.98643,0.82286,0.75376,0.47951,0.94007,0.00150197,0.00150197,0.00150197
12,76.8394,1.02803,0.78559,1.14426,0.91299,0.95,0.97858,0.8354,0.62552,0.80836,0.88898,0.00148546,0.00148546,0.00148546
13,83.296,1.02674,0.7489,1.13567,0.9721,1,0.99446,0.8314,0.72039,0.51761,0.92174,0.00146896,0.00146896,0.00146896
14,89.8395,0.99157,0.73378,1.11712,0.92736,1,0.995,0.77639,0.72351,0.44008,0.95156,0.00145246,0.00145246,0.00145246
15,96.2526,1.00849,0.71158,1.1294,0.99273,1,0.995,0.80694,0.68754,0.40199,0.91056,0.00143595,0.00143595,0.00143595
16,102.638,0.9667,0.6949,1.10792,0.98886,1,0.995,0.83652,0.59749,0.43956,0.87708,0.00141945,0.00141945,0.00141945
17,109.025,1.01185,0.7242,1.13488,0.98083,0.99739,0.995,0.86258,0.61015,0.41798,0.9081,0.00140295,0.00140295,0.00140295
18,115.31,0.93441,0.67065,1.10603,0.99404,0.98148,0.99446,0.85541,0.61756,0.41857,0.90194,0.00138644,0.00138644,0.00138644
19,121.566,0.95494,0.65519,1.11398,0.99265,1,0.995,0.81802,0.70823,0.39517,0.96336,0.00136994,0.00136994,0.00136994
20,127.843,0.9401,0.65624,1.10799,0.90375,0.98197,0.995,0.86912,0.55839,0.37633,0.89049,0.00135344,0.00135344,0.00135344
21,134.126,0.93373,0.62409,1.0993,0.99459,1,0.995,0.84762,0.68784,0.40314,0.92612,0.00133693,0.00133693,0.00133693
22,140.552,0.94273,0.62185,1.10804,0.96931,0.95,0.99045,0.8261,0.63784,0.62303,0.8881,0.00132043,0.00132043,0.00132043
23,146.876,0.91268,0.62022,1.09091,0.96883,0.91296,0.98542,0.84022,0.66031,0.51699,0.93027,0.00130393,0.00130393,0.00130393
24,153.137,0.90693,0.60471,1.09395,0.98804,1,0.995,0.83917,0.60909,0.3528,0.92028,0.00128742,0.00128742,0.00128742
25,159.458,0.90685,0.61068,1.10544,0.98322,1,0.995,0.83338,0.62311,0.39687,0.90105,0.00127092,0.00127092,0.00127092
26,165.752,0.89786,0.60649,1.10103,0.992,1,0.995,0.85951,0.63622,0.34638,0.913,0.00125442,0.00125442,0.00125442
27,172.179,0.90364,0.60223,1.09199,0.99275,1,0.995,0.85664,0.63497,0.36963,0.91253,0.00123791,0.00123791,0.00123791
28,178.481,0.8819,0.58682,1.07771,0.98932,1,0.995,0.82685,0.65888,0.39466,0.91684,0.00122141,0.00122141,0.00122141
29,184.752,0.87451,0.57499,1.07782,0.98878,1,0.995,0.86368,0.59658,0.32424,0.90006,0.00120491,0.00120491,0.00120491
30,191.05,0.85232,0.57313,1.06265,0.99151,1,0.995,0.83852,0.60226,0.32891,0.89031,0.0011884,0.0011884,0.0011884
31,197.703,0.88032,0.57381,1.08517,0.98811,0.98148,0.99397,0.85835,0.59215,0.3412,0.87877,0.0011719,0.0011719,0.0011719
32,204.423,0.85026,0.55261,1.06002,0.98951,1,0.995,0.84608,0.61893,0.34828,0.88763,0.0011554,0.0011554,0.0011554
33,211.191,0.8516,0.59253,1.07105,0.98036,1,0.995,0.85054,0.59665,0.33158,0.88349,0.00113889,0.00113889,0.00113889
34,217.87,0.83702,0.54769,1.0671,0.99468,0.99548,0.995,0.82893,0.56209,0.32482,0.88114,0.00112239,0.00112239,0.00112239
35,224.55,0.84333,0.52044,1.06427,0.99179,1,0.995,0.83794,0.65114,0.35455,0.88745,0.00110589,0.00110589,0.00110589
36,231.28,0.83505,0.52739,1.06101,0.99279,1,0.995,0.86375,0.55062,0.29875,0.87742,0.00108938,0.00108938,0.00108938
37,237.941,0.80772,0.49778,1.05194,0.93975,0.99546,0.995,0.85984,0.59811,0.44856,0.9012,0.00107288,0.00107288,0.00107288
38,244.705,0.79995,0.49798,1.04776,0.99262,1,0.995,0.87174,0.5734,0.3037,0.89009,0.00105638,0.00105638,0.00105638
39,252.193,0.83321,0.51553,1.07484,0.99031,1,0.995,0.85685,0.59438,0.3102,0.89446,0.00103987,0.00103987,0.00103987
40,259.01,0.79127,0.49504,1.04246,0.98871,1,0.995,0.86207,0.56297,0.29101,0.88606,0.00102337,0.00102337,0.00102337
41,265.62,0.80057,0.50259,1.04084,0.99373,1,0.995,0.85794,0.60106,0.34192,0.89103,0.00100687,0.00100687,0.00100687
42,272.329,0.79638,0.50187,1.03673,0.98567,1,0.995,0.85955,0.55978,0.33756,0.87766,0.000990365,0.000990365,0.000990365
43,278.981,0.77911,0.4872,1.02868,0.99334,1,0.995,0.88302,0.54439,0.30161,0.86594,0.000973861,0.000973861,0.000973861
44,285.605,0.81282,0.49626,1.05214,0.99213,1,0.995,0.86458,0.51445,0.29419,0.86206,0.000957358,0.000957358,0.000957358
45,292.291,0.78684,0.49569,1.03311,0.98897,1,0.995,0.85943,0.51753,0.28373,0.85441,0.000940855,0.000940855,0.000940855
46,299.152,0.79208,0.48983,1.03471,0.99282,1,0.995,0.84839,0.60633,0.30426,0.88713,0.000924352,0.000924352,0.000924352
47,305.779,0.76114,0.46248,1.01554,0.99331,1,0.995,0.85768,0.61577,0.3133,0.88952,0.000907848,0.000907848,0.000907848
48,312.465,0.78323,0.48032,1.03133,0.99606,1,0.995,0.8926,0.52453,0.2858,0.85887,0.000891345,0.000891345,0.000891345
49,319.222,0.78332,0.48473,1.03413,0.99464,1,0.995,0.8623,0.55579,0.28853,0.86959,0.000874842,0.000874842,0.000874842
50,325.864,0.77748,0.46285,1.02545,0.99209,1,0.995,0.8606,0.53333,0.27986,0.87307,0.000858338,0.000858338,0.000858338
51,332.502,0.76267,0.46379,1.02354,0.98943,1,0.995,0.86516,0.55649,0.28533,0.86562,0.000841835,0.000841835,0.000841835
52,339.091,0.73778,0.46291,1.02605,0.99434,1,0.995,0.86489,0.55818,0.28486,0.87101,0.000825332,0.000825332,0.000825332
53,345.759,0.73347,0.46225,1.01045,0.99295,1,0.995,0.88036,0.51759,0.27845,0.859,0.000808828,0.000808828,0.000808828
54,352.534,0.73502,0.46209,1.0066,0.99315,1,0.995,0.85595,0.57189,0.31139,0.87951,0.000792325,0.000792325,0.000792325
55,359.198,0.74086,0.45375,1.01138,0.99217,1,0.995,0.89161,0.5307,0.28653,0.85732,0.000775822,0.000775822,0.000775822
56,365.863,0.74633,0.45916,1.01944,0.99265,1,0.995,0.84033,0.56799,0.28391,0.87935,0.000759318,0.000759318,0.000759318
57,372.503,0.73041,0.44379,1.01178,0.99403,1,0.995,0.86753,0.55957,0.31217,0.88238,0.000742815,0.000742815,0.000742815
