epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.07737,0.83394,1.4078,2.38371,0.98484,0.01306,0.99296,0.33882,0.20575,0.01306,0.99296,0.34665,0.23985,0.5948,0.92228,2.76258,0.88477,0.00046,0.00046,0.00046
2,9.41748,0.6849,0.93873,1.0122,0.90719,0.01306,0.99296,0.34336,0.29515,0.01306,0.99296,0.34349,0.27751,0.5684,1.23678,2.7019,0.864,0.000935347,0.000935347,0.000935347
3,13.6436,0.64352,0.82198,0.87634,0.89676,0.89905,0.6272,0.87773,0.73829,0.89905,0.6272,0.86858,0.70036,0.61309,1.01377,1.91082,0.86896,0.00140594,0.00140594,0.00140594
4,17.9193,0.68083,0.83561,0.80482,0.89643,0.98566,0.96793,0.99065,0.84931,0.98566,0.96793,0.99065,0.80122,0.60275,1.39289,0.96286,0.85906,0.00187178,0.00187178,0.00187178
5,22.1362,0.69229,0.8865,0.76247,0.91038,0.98027,0.97887,0.99411,0.83787,0.98027,0.97887,0.99411,0.84318,0.61633,0.87689,0.69678,0.87427,0.0019604,0.0019604,0.0019604
6,26.3904,0.64683,0.78654,0.70041,0.89409,0.98301,0.97183,0.98486,0.85691,0.98301,0.97183,0.98486,0.85837,0.53926,0.67658,0.64718,0.85418,0.0019505,0.0019505,0.0019505
7,30.5923,0.6361,0.7154,0.66379,0.88468,0.98581,0.97874,0.99307,0.86793,0.98581,0.97874,0.99307,0.89788,0.52265,0.58958,0.53371,0.84188,0.0019406,0.0019406,0.0019406
8,35.4227,0.58982,0.73538,0.61398,0.87963,0.99696,0.98592,0.99446,0.85931,0.99696,0.98592,0.99446,0.8739,0.58476,0.72896,0.56523,0.86359,0.0019307,0.0019307,0.0019307
9,39.6873,0.59417,0.67479,0.61064,0.8702,0.99182,0.99296,0.995,0.87724,0.99182,0.99296,0.995,0.88355,0.5099,0.72897,0.50284,0.83901,0.0019208,0.0019208,0.0019208
10,43.9115,0.59136,0.74789,0.56726,0.87912,0.99198,0.99296,0.99493,0.90608,0.99198,0.99296,0.99493,0.90385,0.42864,0.71587,0.38405,0.82824,0.0019109,0.0019109,0.0019109
11,48.1985,0.55523,0.717,0.53323,0.86922,0.99777,0.99296,0.995,0.90947,0.99777,0.99296,0.995,0.90182,0.42949,0.65678,0.38936,0.82229,0.001901,0.001901,0.001901
12,52.4469,0.53732,0.68152,0.52152,0.86105,0.97088,0.97183,0.99263,0.89458,0.97088,0.97183,0.99263,0.88609,0.45007,0.64756,0.44474,0.82307,0.0018911,0.0018911,0.0018911
13,56.6755,0.55072,0.67306,0.50352,0.86002,0.99658,0.99296,0.995,0.86223,0.99658,0.99296,0.995,0.89243,0.50035,0.50312,0.36969,0.85044,0.0018812,0.0018812,0.0018812
14,60.8758,0.55619,0.72242,0.50354,0.87181,0.99966,0.99296,0.995,0.91388,0.99966,0.99296,0.995,0.90597,0.42643,0.50185,0.35765,0.81573,0.0018713,0.0018713,0.0018713
15,65.1858,0.52648,0.60248,0.49631,0.86062,0.998,0.99296,0.995,0.89975,0.998,0.99296,0.995,0.92653,0.41255,0.4291,0.36128,0.82512,0.0018614,0.0018614,0.0018614
16,69.508,0.52112,0.6681,0.4729,0.85551,0.99991,0.99296,0.995,0.90976,0.99991,0.99296,0.995,0.89846,0.41013,0.43779,0.37965,0.82371,0.0018515,0.0018515,0.0018515
17,73.8728,0.51032,0.61521,0.46447,0.85408,0.99478,0.99296,0.995,0.91692,0.99478,0.99296,0.995,0.90291,0.39877,0.45101,0.35793,0.82188,0.0018416,0.0018416,0.0018416
18,78.2446,0.53067,0.6094,0.45317,0.85734,1,0.99233,0.995,0.9097,1,0.99233,0.995,0.92233,0.38967,0.45251,0.32237,0.81547,0.0018317,0.0018317,0.0018317
19,82.5658,0.51227,0.58737,0.44372,0.85385,0.99791,0.99296,0.995,0.92443,0.99791,0.99296,0.995,0.91824,0.37091,0.44244,0.31859,0.80799,0.0018218,0.0018218,0.0018218
20,86.9377,0.50378,0.59048,0.42969,0.8492,0.99873,0.99296,0.995,0.91787,0.99873,0.99296,0.995,0.90937,0.39577,0.41208,0.31239,0.81638,0.0018119,0.0018119,0.0018119
21,91.4286,0.49625,0.58134,0.42243,0.85577,1,0.99139,0.995,0.92522,1,0.99139,0.995,0.91271,0.36082,0.39826,0.29776,0.81039,0.001802,0.001802,0.001802
22,95.9091,0.48456,0.56397,0.41263,0.83847,0.99889,0.99296,0.995,0.93814,0.99181,0.98592,0.98391,0.91632,0.35754,0.43428,0.29722,0.8069,0.0017921,0.0017921,0.0017921
23,100.319,0.47748,0.57948,0.41821,0.84009,1,0.99124,0.995,0.94272,1,0.99124,0.995,0.92108,0.35212,0.39834,0.28624,0.81266,0.0017822,0.0017822,0.0017822
24,104.698,0.48239,0.55927,0.41737,0.85013,0.99188,0.99296,0.995,0.90763,0.99188,0.99296,0.995,0.90243,0.37781,0.39981,0.32743,0.81363,0.0017723,0.0017723,0.0017723
25,109.012,0.4908,0.58177,0.40285,0.84124,0.99934,0.99296,0.995,0.92211,0.99225,0.98592,0.99255,0.91342,0.39512,0.47803,0.3059,0.82486,0.0017624,0.0017624,0.0017624
26,113.348,0.48801,0.59328,0.41124,0.8521,0.99869,0.99296,0.995,0.91278,0.99161,0.98592,0.99439,0.93376,0.40475,0.41482,0.31588,0.82025,0.0017525,0.0017525,0.0017525
27,117.676,0.47224,0.56049,0.40836,0.84204,0.99178,0.99296,0.99408,0.91705,0.98475,0.98592,0.98294,0.92389,0.40895,0.43189,0.30317,0.82146,0.0017426,0.0017426,0.0017426
28,122.059,0.49394,0.55034,0.41056,0.84672,0.99915,0.99296,0.995,0.93738,0.99206,0.98592,0.98267,0.92409,0.37116,0.40625,0.29122,0.81015,0.0017327,0.0017327,0.0017327
29,126.415,0.47482,0.55502,0.40027,0.83778,0.9983,0.99296,0.995,0.93699,0.99122,0.98592,0.99311,0.93577,0.35263,0.39786,0.29728,0.81613,0.0017228,0.0017228,0.0017228
30,130.955,0.46567,0.5835,0.39263,0.85258,0.97741,0.98592,0.99005,0.90603,0.97741,0.98592,0.99005,0.91793,0.42061,0.42864,0.39697,0.84354,0.0017129,0.0017129,0.0017129
31,135.277,0.45858,0.54844,0.3835,0.83667,0.98871,0.99296,0.99472,0.93274,0.98871,0.99296,0.99472,0.91196,0.36528,0.43959,0.29068,0.81517,0.001703,0.001703,0.001703
32,139.838,0.46281,0.51133,0.39047,0.84624,0.97911,0.99044,0.99465,0.93895,0.97215,0.98339,0.98368,0.91945,0.34931,0.44456,0.28265,0.8157,0.0016931,0.0016931,0.0016931
33,144.184,0.46398,0.5557,0.37197,0.84498,0.99464,0.99296,0.995,0.93503,0.99464,0.99296,0.995,0.93453,0.34258,0.43708,0.28089,0.80947,0.0016832,0.0016832,0.0016832
34,148.498,0.47854,0.60169,0.38092,0.83665,0.99919,0.99296,0.995,0.93898,0.99919,0.99296,0.995,0.92414,0.35108,0.47084,0.27888,0.81646,0.0016733,0.0016733,0.0016733
35,152.794,0.48257,0.58736,0.39159,0.84711,0.99948,0.99296,0.995,0.94605,0.99948,0.99296,0.995,0.92659,0.34226,0.4202,0.27335,0.80435,0.0016634,0.0016634,0.0016634
36,157.18,0.4515,0.55389,0.36924,0.83668,0.99918,0.99296,0.995,0.95519,0.99918,0.99296,0.995,0.93433,0.31726,0.37424,0.26011,0.80213,0.0016535,0.0016535,0.0016535
37,161.621,0.44713,0.53788,0.37114,0.8354,0.99829,0.99296,0.995,0.94705,0.99829,0.99296,0.995,0.93351,0.34149,0.49402,0.29025,0.8089,0.0016436,0.0016436,0.0016436
38,165.906,0.42686,0.51599,0.36177,0.83406,0.99955,0.99296,0.995,0.95487,0.99955,0.99296,0.995,0.93064,0.3314,0.37639,0.27059,0.80511,0.0016337,0.0016337,0.0016337
39,170.112,0.44216,0.54231,0.35371,0.83569,0.99958,0.99296,0.995,0.95134,0.99958,0.99296,0.995,0.91974,0.33554,0.3829,0.26489,0.80277,0.0016238,0.0016238,0.0016238
40,174.402,0.44797,0.53867,0.35552,0.83225,0.99957,0.99296,0.995,0.92216,0.99957,0.99296,0.995,0.90226,0.40527,0.40329,0.28713,0.81586,0.0016139,0.0016139,0.0016139
